#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
323727:7236,09/29/18 21:21:14,836,836,0.219174692,0.211437024
323755:7239,09/30/18 12:43:12,649,649,0.203974655,0.196575712
323775:7240,09/30/18 20:33:35,17,17,0.006655351,0.006143253
323778:7240,09/30/18 20:42:12,790,790,0.238936529,0.228573457
323790:7242,10/01/18 08:10:47,731,731,0.231507861,0.222073324
323794:7242,10/01/18 13:29:41,67,67,0.016517217,0.015837726
323841:7245,10/01/18 23:56:54,379,379,0.132273979,0.126488493
323857:7245,10/02/18 02:35:30,351,351,0.097144705,0.093821799
323940:7252,10/03/18 02:47:12,1105,1105,0.296561067,0.284228687
323954:7252,10/03/18 11:06:37,75,75,0.015308430,0.014747822
323980:7253,10/03/18 14:54:19,181,181,0.066337291,0.063114891
323983:7253,10/03/18 16:11:58,137,137,0.044350287,0.042219443
323997:7253,10/03/18 17:30:39,391,391,0.107514351,0.102509319
324021:7256,10/04/18 03:20:43,431,431,0.142251615,0.135016816
324022:7256,10/04/18 06:50:15,520,520,0.124503202,0.120709236
324077:7259,10/04/18 23:49:08,404,404,0.138156293,0.132670921
324201:7264,10/07/18 00:26:17,1046,1046,0.276094471,0.265989031
324202:7264,10/07/18 08:50:25,230,230,0.038685349,0.037845730
324205:7264,10/07/18 10:31:04,149,149,0.022085088,0.021514164
324206:7264,10/07/18 11:38:14,100,100,0.013553997,0.013136414
324207:7264,10/07/18 12:44:24,30,30,0.003814778,0.003681142
324209:7264,10/07/18 13:02:20,132,132,0.015187699,0.014900022
324237:7265,10/07/18 22:24:45,55,55,0.020859715,0.020019557
324245:7266,10/08/18 01:59:28,1384,1384,0.362102897,0.348445529
324293:7270,10/08/18 23:55:38,2024,2024,0.452951592,0.438192524
324315:7271,10/09/18 16:50:47,136,136,0.049712000,0.047402372
324318:7271,10/09/18 17:53:42,251,251,0.078159914,0.074634361
324420:7274,10/11/18 00:26:07,564,564,0.191386880,0.182198109
324729:7308,10/16/18 09:28:04,103,103,0.008037123,0.007726921
324747:7309,10/16/18 13:11:58,776,776,0.221557195,0.211615519
324764:7309,10/16/18 19:54:47,134,134,0.029216435,0.028152597
324765:7309,10/16/18 20:52:50,463,463,0.087513385,0.084846255
324769:7309,10/16/18 23:59:45,321,321,0.047016450,0.045818004
324772:7309,10/17/18 02:48:23,144,144,0.016826727,0.016468711
324785:7310,10/17/18 06:34:19,386,386,0.128866110,0.123697813
324791:7310,10/17/18 10:04:47,979,979,0.200382271,0.193873704
324835:7314,10/17/18 23:15:18,111,111,0.041024961,0.035968405
324840:7314,10/18/18 00:41:14,82,82,0.027603919,0.025132892
324841:7314,10/18/18 01:19:21,1234,1234,0.288246281,0.278822482
324846:7314,10/18/18 10:06:07,475,475,0.065220970,0.063236283
324878:7315,10/18/18 16:24:36,1430,1430,0.335757287,0.324103325
324897:7317,10/19/18 07:21:51,34,34,0.012810438,0.012062716
324970:7320,10/19/18 16:52:35,1650,1650,0.344232825,0.332022536
324980:7321,10/20/18 09:20:53,1687,1687,0.388699996,0.372090382
324997:7324,10/21/18 05:08:46,24,24,0.008994556,0.007546503
324998:7324,10/21/18 05:23:14,342,342,0.114913440,0.109840372
324999:7324,10/21/18 07:47:04,14,14,0.004195108,0.003883479
325000:7324,10/21/18 08:03:55,368,368,0.097438565,0.094001571
325001:7324,10/21/18 10:29:40,570,570,0.119182743,0.115168302
325022:7328,10/21/18 23:21:09,197,197,0.040732571,0.039568151
325057:7331,10/22/18 15:02:21,104,104,0.037752708,0.035685750
325099:7333,10/22/18 22:34:25,244,244,0.088465964,0.084789317
325100:7333,10/23/18 00:24:31,235,235,0.073009412,0.069393458
325101:7333,10/23/18 02:07:46,418,418,0.106273865,0.102362808
325110:7333,10/23/18 05:50:07,12,12,0.002543031,0.002428554
325117:7333,10/23/18 07:39:08,517,517,0.085787633,0.083075879
325159:7334,10/23/18 14:48:30,162,162,0.052431759,0.049580572
325168:7334,10/23/18 16:09:33,6,6,0.001844356,0.001283643
325169:7334,10/23/18 16:19:51,9,9,0.002726401,0.001713940
325170:7334,10/23/18 16:31:41,978,978,0.222475897,0.215087677
325172:7334,10/24/18 00:23:24,451,451,0.066786621,0.064791178
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#94,221,92919,92919,23.080798309,22.238172314
#Check JSON:
#(run,ls) in json but not in results: []
