#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
324201:7264,10/07/18 00:26:17,1223,1223,0.335579903,0.322656080
324202:7264,10/07/18 08:52:45,228,228,0.038300009,0.037466190
324205:7264,10/07/18 10:31:04,156,156,0.023094396,0.022394249
324206:7264,10/07/18 11:38:14,131,131,0.017777914,0.017270079
324207:7264,10/07/18 12:44:24,33,33,0.004195281,0.004054579
324209:7264,10/07/18 13:02:20,139,139,0.016116062,0.015809850
324237:7265,10/07/18 22:24:45,61,61,0.023117047,0.022028521
324245:7266,10/08/18 01:59:05,1574,1574,0.404876119,0.389292607
324293:7270,10/09/18 00:01:04,1976,1976,0.430351132,0.416903242
324315:7271,10/09/18 16:50:47,125,125,0.045744105,0.043576997
324318:7271,10/09/18 17:53:42,330,330,0.103961794,0.099552057
324420:7274,10/11/18 00:26:07,619,619,0.207375635,0.197678803
324729:7308,10/16/18 09:28:04,189,189,0.015011676,0.014474921
324747:7309,10/16/18 13:11:58,916,916,0.266730817,0.255097102
324764:7309,10/16/18 19:54:47,142,142,0.030959107,0.029852704
324765:7309,10/16/18 20:52:50,478,478,0.090476913,0.087679542
324769:7309,10/16/18 23:59:45,294,294,0.043118531,0.042008583
324772:7309,10/17/18 02:48:00,165,165,0.019188224,0.018782623
324785:7310,10/17/18 06:34:19,462,462,0.150933693,0.145366922
324791:7310,10/17/18 10:04:47,992,992,0.202723583,0.196245997
324835:7314,10/17/18 23:15:18,138,138,0.050845033,0.044343672
324840:7314,10/18/18 00:41:14,30,30,0.010174790,0.008446440
324841:7314,10/18/18 01:18:35,972,972,0.219655308,0.211447556
324846:7314,10/18/18 10:06:07,471,471,0.064457164,0.062575732
324878:7315,10/18/18 16:24:36,1236,1236,0.291976352,0.281527479
324897:7317,10/19/18 07:21:51,36,36,0.013568715,0.012782964
324970:7320,10/19/18 16:52:35,1837,1837,0.391125359,0.376472895
324980:7321,10/20/18 09:20:53,1916,1916,0.429001120,0.411316970
324997:7324,10/21/18 05:08:46,28,28,0.010510976,0.008999755
324998:7324,10/21/18 05:23:14,344,344,0.115495218,0.110110445
324999:7324,10/21/18 07:47:04,14,14,0.004195108,0.003883479
325000:7324,10/21/18 08:03:55,309,309,0.082792298,0.079810377
325001:7324,10/21/18 10:30:03,425,425,0.088412490,0.085514084
325022:7328,10/21/18 23:19:59,156,156,0.032638615,0.031413444
325057:7331,10/22/18 15:02:21,144,144,0.052346278,0.049882868
325099:7333,10/22/18 22:32:51,100,100,0.036704032,0.034935825
325100:7333,10/23/18 00:24:54,190,190,0.059272081,0.056085283
325101:7333,10/23/18 02:07:46,327,327,0.083795913,0.080515490
325110:7333,10/23/18 05:50:07,12,12,0.002543031,0.002428554
325117:7333,10/23/18 07:39:08,430,430,0.070872587,0.068557585
325159:7334,10/23/18 14:48:30,106,106,0.034219212,0.031586266
325168:7334,10/23/18 16:09:57,7,7,0.002151407,0.001577099
325169:7334,10/23/18 16:19:28,8,8,0.002424006,0.001696906
325170:7334,10/23/18 16:32:04,820,820,0.187037670,0.180711185
325172:7334,10/24/18 00:23:24,418,418,0.061611628,0.059678943
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#94,222,104209,104209,26.045334593,25.092859817
#Check JSON:
#(run,ls) in json but not in results: []
